Title,Calories,Proteins,Fats,Carbohydrates
рулька баранина мясо и жир обрезь до 1/4 жира отборная сырая,201,18.91,13.38,0
рулька баранина мясо и жир обрезь до 1/4 жира отборная тушеная,243,28.37,13.46,0
рулька баранина новая зеландия замороженная мясо и жир обрезь до 1/8 жира сырая,223,18.04,16.15,0
рулька баранина новая зеландия замороженная мясо и жир обрезь до 1/8 жира тушеная,258,26.97,15.83,0
рулька баранина новая зеландия замороженная мясо и жир сырая,183,20.09,11.38,0.09
рулька баранина новая зеландия замороженная мясо и жир тушеная,258,26.97,15.83,0
рулька баранина новая зеландия замороженная только мясо сырая,122,22.05,3.77,0
рулька баранина новая зеландия замороженная только мясо тушеная,209,33.31,8.4,0
селезенка баранья,101,17.2,3.1,0
селезенка баранья тушеная,156,26.46,4.77,0
сердце баранье,86,13.5,3.5,0
сердце баранье,122,16.47,5.68,0.21
сердце баранье тушеное,185,24.97,7.91,1.93
фарш из баранины,282,16.56,23.41,0
фарш из баранины жаренный на открытом огне,283,24.75,19.65,0
фарш из мяса белки аляска,111,19.3,3.8,0
фарш из мяса бизона,223,18.67,15.93,0
фарш из мяса бизона жаренный на сковороде,238,23.77,15.13,0
фарш из мяса зубра пастбищного,146,20.23,7.21,0.05
фарш из мяса зубра пастбищного приготовленный,179,25.45,8.62,0
фарш из мяса лося,172,21.76,8.82,0
фарш из мяса лося жаренный на сковороде,193,26.64,8.74,0
фарш из мяса оленя лани,157,21.78,7.13,0
фарш из мяса оленя лани жаренный на сковороде,187,26.45,8.22,0
шницель отбивной из баранины по 1416,333,21.8,23.2,9.1
ягнятина,196,17.2,14.1,0
ягнятина лопаточная часть,259,16.63,20.86,0
ягнятина лопаточная часть жаренная на открытом огне,278,23.08,19.94,0
ягнятина лопаточная часть только мясо,151,19.29,7.63,0
ягнятина лопаточная часть только мясо жаренная на открытом огне,211,25.48,11.32,0
ягнятина лопаточная часть только мясо запеченная,209,24.61,11.57,0
ягнятина лопаточная часть запеченная,281,22.25,20.61,0
ягнятина лопаточная часть только мясо тушеная,288,32.35,16.64,0
ягнятина лопаточная часть тушеная,345,28.51,24.73,0
ягнятина окорок,272,16.94,22.11,0
ягнятина окорок запеченный,292,24.63,20.67,0
ягнятина окорок только мясо запеченный,204,28.35,9.17,0
ягнятина плечевая часть,260,16.79,20.9,0
ягнятина плечевая часть жаренная на открытом огне,281,24.44,19.55,0
ягнятина плечевая часть запеченная,279,22.53,20.24,0
ягнятина плечевая часть только мясо,132,19.99,5.2,0
ягнятина плечевая часть только мясо жаренная на открытом огне,200,27.71,09.02,0
ягнятина плечевая часть только мясо запеченная,192,25.46,9.26,0
ягнятина плечевая часть только мясо тушеная,279,35.54,14.08,0
ягнятина плечевая часть тушеная,346,30.39,24,0
язык бараний,195,12.6,16.1,0
язык бараний,222,15.7,17.17,0
язык бараний тушеный,275,21.57,20.28,0
язык оленя карибу аляска,260,13.7,22.8,0
loma linda большие сосиски низкожирные консервированные неприготовленные,154,23.1,4.7,4.9
morinu тофу мягкий шелковый,55,4.8,2.7,2.9
morinu тофу твердый шелковый,62,6.9,2.7,2.4
morinu тофу экстра твердый шелковый,55,7.4,1.9,2
арахис,552,26.3,45.2,9.9
арахис,567,25.8,49.24,7.63
арахис валенсия,570,25.09,47.58,12.21
арахис валенсия жаренный на масле без соли,589,27.04,51.24,7.4
арахис валенсия жареный на масле с солью,589,27.04,51.24,7.4
арахис вареный с солью,318,13.5,22.01,12.46
арахис вирджиния,563,25.19,48.75,08.04
арахис вирджиния жареный на масле без соли,578,25.87,48.62,10.96
арахис вирджиния жареный на масле с солью,578,25.87,48.62,10.96
арахис жареный,626,26,52,13.4
арахис жареный без масла без соли,587,24.35,49.66,12.86
арахис жареный без масла с солью,587,24.35,49.66,12.86
арахис жареный на масле без соли,599,28.03,52.5,5.86
арахис жареный на масле с солью,599,28.03,52.5,5.86
арахис испанский,570,26.15,49.6,6.33
арахис испанский жареный на масле без соли,579,28.01,49.04,8.55
арахис испанский жареный на масле с солью,579,28.01,49.04,8.55
арахисовая мука обезжиренная,327,52.2,0.55,18.9
арахисовая мука с низким содерж жира,428,33.8,21.9,15.47
арахисовая паста без соли,598,22.21,51.36,17.31
арахисовая паста обогащенная витаминами и минералами,591,25.72,50.81,13.15
арахисовая паста с кусочками орехов без соли,589,24.06,49.94,13.57
арахисовая паста с кусочками орехов обогащенное витаминами и минералами,593,26.06,51.47,11.99
арахисовая паста с кусочками орехов с солью,589,24.06,49.94,13.57
арахисовая паста с омега3,608,24.47,54.17,10.9
арахисовая паста с пониж содерж жира 34%,520,25.9,34,30.45
арахисовая паста с пониженным содерж натрия,590,24,49.9,15.23
арахисовая паста с солью,598,22.21,51.36,17.31
арахисовая паста стандарт сша,588,21.93,49.54,18.28
арахисовое масло пастаспред с пониженным содерж сахара,650,24.8,54.89,6.43
бекон из заменителя мяса из бобовых,309,11.69,29.52,2.71
боб садовый конский незрелый,72,5.6,0.6,7.5
боб садовый конский незрелый вареный без соли,62,4.8,0.5,6.5
боб садовый конский незрелый вареный с солью,62,4.8,0.5,10.1
бобы фасоль фава,341,26.12,1.53,33.29
бобы фасоль фава вареные без соли,110,7.6,0.4,14.25
бобы фасоль фава вареные с солью,110,7.6,0.4,14.25
бобы фасоль фава консервированные,71,5.47,0.22,8.71
бобы мунг маш фасоль золотистая зрелые семена вареные без доб соли,105,07.02,0.38,11.55
голубиный горох зрелый,343,21.7,1.49,47.78
голубиный горох зрелый вареный без соли,121,6.76,0.38,16.55
голубиный горох зрелый вареный с солью,121,6.76,0.38,16.55
голубиный горох неспелый,136,7.2,1.64,18.78
голубиный горох неспелый вареный без соли,111,5.96,1.36,15.29
голубиный горох неспелый вареный с солью,111,5.96,1.36,15.29
горох колотый,364,23.12,3.89,39.43
горох колотый вареный без соли,118,8.34,0.39,12.8
горох колотый вареный с солью,116,8.34,0.39,12.21
горох лущеный крупа,299,23,1.6,48.1
горох отварной по 1296,130,10.5,0.8,20.4
горох отварной с копченой грудинкой по 1298,156,8.4,5.7,17.8
горох стручковый вареный без соли,42,3.27,0.23,4.25
горох стручковый вареный с солью,40,3.27,0.23,3.66
горох стручковый замороженный вареный без соли,52,3.5,0.38,5.92
горох стручковый замороженный вареный с солью,50,3.5,0.38,5.33
горох стручковый замороженный неприготовленный,42,2.8,0.3,4.1
горох стручковый свежий,42,2.8,0.2,4.95
горох зерно цельное,298,20.5,2,49.5
горох проросшие семена,124,8.8,0.68,27.11
горох проросшие семена вареный без соли,98,07.05,0.51,17.08
горох проросшие семена вареный с солью,98,07.05,0.51,17.08
горошек зелёный,81,5.42,0.4,8.75
горошек зелёный с морковью консервы,38,2.17,0.27,6.48
горошек зеленый свежий,55,5,0.2,8.3
горошек зеленый сушеный,305,35,0.4,40.5
горошек зелёный вареный без соли,84,5.36,0.22,10.13
горошек зелёный вареный с солью,84,5.36,0.22,10.13
горошек зелёный замороженный,77,5.22,0.4,9.12
горошек зелёный замороженный вареный без соли,78,5.15,0.27,9.76
горошек зелёный замороженный вареный с солью,78,5.15,0.27,9.76
горошек зелёный консервированный,58,03.01,0.48,7.3
горошек зелёный консервированный без  соли,53,3.19,0.3,6.45
горошек зелёный консервированный без соли содержимое без жидкости,69,4.42,0.35,8.48
горошек зелёный консервированный со специями,50,03.09,0.27,7.25
горошек зелёный консервированный содержимое без жидкости,68,4.47,0.8,6.46
горошек зелёный консервированный содержимое без жидкости промытый водой,71,4.33,0.95,11.82
горошек зеленый консервы,40,3.1,0.2,6.5
ёкан желе из бобов адзуки японский десерт,260,3.29,0.12,60.72
заменитель мяса,311,41.71,2.97,17.21
запеченные бобы консервированные без доб соли,105,4.8,0.4,14.99
камедь бобов рожкового дерева,222,4.62,0.65,49.08
колбаса из заменителя мяса,255,20.28,18.16,5.29
кормовые бобы в стучках,88,7.92,0.73,10.13
коровий горох вигна китайская catjang зрелый,343,23.85,02.07,48.94
коровий горох вигна китайская catjang зрелый вареный без соли,117,8.13,0.71,16.72
коровий горох вигна китайская catjang зрелый вареный с солью,117,8.13,0.71,16.72
коровий горох вигна китайская листья,29,4.1,0.25,4.82
коровий горох вигна китайская листья вареные без соли,22,4.67,0.1,2.8
коровий горох вигна китайская листья вареные с солью,22,4.67,0.1,2.8
коровий горох вигна китайская молодые стручки с семенами вареные без соли,34,2.6,0.3,7
коровий горох вигна китайская молодые стручки с семенами вареные с солью,34,2.6,0.3,7
коровий горох вигна китайская молодые стручки с семенами сырые,44,3.3,0.3,6.2
крылатые бобы спаржевый горох квадратный горох зрелые,409,29.65,16.32,15.81
